PRESSURE =     0.101325    MPa 
CELL VOLUME =  742.100611  A^3 =  446.903430  CM^3/MOL
IRREDUCIBLE LATTICE PARAMETERS - LENGTH
7.13062         9.19126         12.61379        
IRREDUCIBLE LATTICE PARAMETERS - ANGLE
116.14712       
TEMPERATURE(K)    HELMOLTZ(KJ/MOL)       GIBBS(KJ/MOL)
0.00              -5400694.934565      -5400694.889282
20.00             -5400694.973564      -5400694.928281
40.00             -5400695.531428      -5400695.486146
60.00             -5400697.127473      -5400697.082190
80.00             -5400699.900149      -5400699.854866
100.00            -5400703.829903      -5400703.784620
120.00            -5400708.863957      -5400708.818674
140.00            -5400714.952300      -5400714.907017
160.00            -5400722.054666      -5400722.009383
180.00            -5400730.140072      -5400730.094790
200.00            -5400739.184913      -5400739.139630
220.00            -5400749.171085      -5400749.125802
240.00            -5400760.084459      -5400760.039177
260.00            -5400771.913696      -5400771.868414
280.00            -5400784.649342      -5400784.604060
300.00            -5400798.283160      -5400798.237878
