PRESSURE =     0.101325    MPa 
CELL VOLUME =  773.423467  A^3 =  465.766494  CM^3/MOL
IRREDUCIBLE LATTICE PARAMETERS - LENGTH
7.20994         9.40382         12.77348        
IRREDUCIBLE LATTICE PARAMETERS - ANGLE
116.74197       
TEMPERATURE(K)    HELMOLTZ(KJ/MOL)       GIBBS(KJ/MOL)
0.00              -5400698.698487      -5400698.651293
20.00             -5400698.762699      -5400698.715505
40.00             -5400699.492126      -5400699.444932
60.00             -5400701.402591      -5400701.355397
80.00             -5400704.580772      -5400704.533578
100.00            -5400708.971726      -5400708.924532
120.00            -5400714.502593      -5400714.455399
140.00            -5400721.111998      -5400721.064804
160.00            -5400728.753017      -5400728.705823
180.00            -5400737.390581      -5400737.343387
200.00            -5400746.998439      -5400746.951245
220.00            -5400757.556677      -5400757.509483
240.00            -5400769.049851      -5400769.002657
260.00            -5400781.465617      -5400781.418424
280.00            -5400794.793730      -5400794.746537
300.00            -5400809.025302      -5400808.978108
