PRESSURE =     0.101325    MPa 
CELL VOLUME =  754.292647  A^3 =  454.245645  CM^3/MOL
IRREDUCIBLE LATTICE PARAMETERS - LENGTH
7.16300         9.27618         12.67048        
IRREDUCIBLE LATTICE PARAMETERS - ANGLE
116.36971       
TEMPERATURE(K)    HELMOLTZ(KJ/MOL)       GIBBS(KJ/MOL)
0.00              -5400697.135071      -5400697.089045
20.00             -5400697.175897      -5400697.129871
40.00             -5400697.760964      -5400697.714938
60.00             -5400699.418800      -5400699.372773
80.00             -5400702.277856      -5400702.231829
100.00            -5400706.309916      -5400706.263889
120.00            -5400711.456825      -5400711.410798
140.00            -5400717.665385      -5400717.619358
160.00            -5400724.893416      -5400724.847390
180.00            -5400733.108750      -5400733.062724
200.00            -5400742.287006      -5400742.240980
220.00            -5400752.409548      -5400752.363521
240.00            -5400763.461854      -5400763.415827
260.00            -5400775.432279      -5400775.386253
280.00            -5400788.311127      -5400788.265101
300.00            -5400802.089954      -5400802.043928
