PRESSURE =     0.101325    MPa 
CELL VOLUME =  1410.399868 A^3 =  849.362645  CM^3/MOL
IRREDUCIBLE LATTICE PARAMETERS - LENGTH
11.73455        7.02573         17.10742        
IRREDUCIBLE LATTICE PARAMETERS - ANGLE

TEMPERATURE(K)    HELMOLTZ(KJ/MOL)       GIBBS(KJ/MOL)
0.00              -10801360.136550    -10801360.050488
20.00             -10801360.299722    -10801360.213661
40.00             -10801361.759806    -10801361.673745
60.00             -10801365.374792    -10801365.288730
80.00             -10801371.373051    -10801371.286989
100.00            -10801379.735503    -10801379.649441
120.00            -10801390.379353    -10801390.293291
140.00            -10801403.220080    -10801403.134018
160.00            -10801418.186786    -10801418.100724
180.00            -10801435.223333    -10801435.137271
200.00            -10801454.285883    -10801454.199822
220.00            -10801475.339959    -10801475.253897
240.00            -10801498.357859    -10801498.271798
260.00            -10801523.316592    -10801523.230530
280.00            -10801550.196261    -10801550.110199
300.00            -10801578.978855    -10801578.892794
END
