PRESSURE =     0.101325    MPa 
CELL VOLUME =  1541.238057 A^3 =  928.155243  CM^3/MOL
IRREDUCIBLE LATTICE PARAMETERS - LENGTH
11.91667        7.47072         17.31221        
IRREDUCIBLE LATTICE PARAMETERS - ANGLE

TEMPERATURE(K)    HELMOLTZ(KJ/MOL)       GIBBS(KJ/MOL)
0.00              -10801371.021201    -10801370.927155
20.00             -10801371.274183    -10801371.180138
40.00             -10801373.305377    -10801373.211332
60.00             -10801378.029182    -10801377.935137
80.00             -10801385.511085    -10801385.417040
100.00            -10801395.596471    -10801395.502425
120.00            -10801408.119722    -10801408.025677
140.00            -10801422.947409    -10801422.853363
160.00            -10801439.978921    -10801439.884876
180.00            -10801459.139287    -10801459.045242
200.00            -10801480.372179    -10801480.278134
220.00            -10801503.634469    -10801503.540423
240.00            -10801528.892217    -10801528.798172
260.00            -10801556.117767    -10801556.023721
280.00            -10801585.287619    -10801585.193574
300.00            -10801616.380903    -10801616.286858
END
