PRESSURE =     0.101325    MPa 
CELL VOLUME =  1454.043735 A^3 =  875.645596  CM^3/MOL
IRREDUCIBLE LATTICE PARAMETERS - LENGTH
11.79919        7.17093         17.18500        
IRREDUCIBLE LATTICE PARAMETERS - ANGLE

TEMPERATURE(K)    HELMOLTZ(KJ/MOL)       GIBBS(KJ/MOL)
0.00              -10801372.265064    -10801372.176339
20.00             -10801372.463842    -10801372.375117
40.00             -10801374.139074    -10801374.050349
60.00             -10801378.160331    -10801378.071607
80.00             -10801384.699830    -10801384.611105
100.00            -10801393.691151    -10801393.602427
120.00            -10801405.021847    -10801404.933123
140.00            -10801418.589673    -10801418.500948
160.00            -10801434.312925    -10801434.224201
180.00            -10801452.128616    -10801452.039891
200.00            -10801471.988355    -10801471.899630
220.00            -10801493.854491    -10801493.765766
240.00            -10801517.697010    -10801517.608286
260.00            -10801543.491163    -10801543.402438
280.00            -10801571.215674    -10801571.126949
300.00            -10801600.851418    -10801600.762693
END
