TEMPERATURE            HELMHOLTZ    LATT 0    LATT 1    LATT 2
        0.00      -10801371.8660   12.1246    7.9542   17.5782
       20.00      -10801372.0359   12.1135    7.9817   17.5810
       40.00      -10801373.7961   12.1219    8.0214   17.5803
       60.00      -10801378.0083   12.1332    8.0335   17.5998
       80.00      -10801384.8041   12.0626    7.8667   17.5017
      100.00      -10801394.4173   12.0938    7.9240   17.5389
      120.00      -10801405.4992   12.0837    7.9106   17.5231
      140.00      -10801420.0731   12.1323    8.0077   17.5821
      160.00      -10801436.1392   12.1079    7.9659   17.5505
      180.00      -10801454.2658   12.1106    7.9738   17.5523
      200.00      -10801474.5587   12.1170    7.9888   17.5595
      220.00      -10801496.0606   12.1188    8.0033   17.5601
      240.00      -10801520.9355   12.1257    8.0076   17.5718
      260.00      -10801546.8501   12.1078    7.9865   17.5516
      280.00      -10801574.7450   12.1855    8.1364   17.6419
      300.00      -10801604.5971   12.1313    8.0452   17.5731
