PRESSURE =     0.101325    MPa 
CELL VOLUME =  1526.701354 A^3 =  919.401036  CM^3/MOL
IRREDUCIBLE LATTICE PARAMETERS - LENGTH
11.89409        7.42109         17.29638        
IRREDUCIBLE LATTICE PARAMETERS - ANGLE

TEMPERATURE(K)    HELMOLTZ(KJ/MOL)       GIBBS(KJ/MOL)
0.00              -10801373.430154    -10801373.336996
20.00             -10801373.674788    -10801373.581630
40.00             -10801375.645973    -10801375.552815
60.00             -10801380.254025    -10801380.160866
80.00             -10801387.584295    -10801387.491137
100.00            -10801397.496403    -10801397.403244
120.00            -10801409.832851    -10801409.739692
140.00            -10801424.464869    -10801424.371710
160.00            -10801441.294655    -10801441.201496
180.00            -10801460.249006    -10801460.155848
200.00            -10801481.272754    -10801481.179596
220.00            -10801504.323545    -10801504.230387
240.00            -10801529.367974    -10801529.274816
260.00            -10801556.378753    -10801556.285594
280.00            -10801585.332647    -10801585.239488
300.00            -10801616.208974    -10801616.115816
END
